Site_name,Site_id,Latitude,Longitude
NMIC44,27446,32.22269,35.268713
NMIC44,27447,32.22269,35.268713
NMIC44,27448,32.22269,35.268713
NMIC49,27491,32.216392,35.25917
NMIC49,27492,32.216392,35.25917
NMIC49,27496,32.216392,35.25917
NMIC49,27497,32.216392,35.25917
NMIC52,27521,32.213758,35.261731
NMIC52,27522,32.213758,35.261731
NMIC52,27526,32.213758,35.261731
NMIC52,27527,32.213758,35.261731
NMIC53,27531,32.215566,35.259447
NMIC53,27532,32.215566,35.259447
NMIC53,27536,32.215566,35.259447
NMIC53,27537,32.215566,35.259447
NMIC57,27571,32.227561,35.228925
NMIC57,27572,32.227561,35.228925
NMIC57,27576,32.227561,35.228925
NMIC57,27577,32.227561,35.228925
NMIC58,27581,32.226111,35.198333
NMIC58,27582,32.226111,35.198333
NMIC58,27583,32.226111,35.198333
NMIC58,27586,32.226111,35.198333
NMIC58,27587,32.226111,35.198333
NMIC58,27588,32.226111,35.198333
NMIC62,27621,32.230554,35.251383
NMIC62,27622,32.230554,35.251383
NMIC62,27623,32.230554,35.251383
NMIC62,27626,32.230554,35.251383
NMIC62,27627,32.230554,35.251383
NMIC62,27628,32.230554,35.251383
NMIC65,27651,32.238333,35.244167
NMIC65,27652,32.238333,35.244167
NMIC65,27653,32.238333,35.244167
NMIC65,27656,32.238333,35.244167
NMIC65,27657,32.238333,35.244167
NMIC65,27658,32.238333,35.244167
NMIC69,27691,32.21896,35.258762
NMIC69,27696,32.21896,35.258762
NMIC72,27721,32.219167,35.2775
NMIC72,27722,32.219167,35.2775
NMIC72,27726,32.219167,35.2775
NMIC72,27727,32.219167,35.2775
NMIC74,27741,32.222648,35.233396
NMIC74,27742,32.222648,35.233396
NMIC74,27743,32.222648,35.233396
NMIC74,27744,32.222648,35.233396
NMIC74,27746,32.222648,35.233396
NMIC74,27747,32.222648,35.233396
NMIC74,27748,32.222648,35.233396
NMIC74,27749,32.222648,35.233396
NMIC79,27791,32.241569,35.234264
NMIC79,27792,32.241569,35.234264
NMIC79,27793,32.241569,35.234264
NMIC79,27796,32.241569,35.234264
NMIC79,27797,32.241569,35.234264
NMIC79,27798,32.241569,35.234264
NMIC81,27811,32.218605,35.254723
NMIC81,27812,32.218605,35.254723
NMIC81,27813,32.218605,35.254723
NMIC81,27816,32.218605,35.254723
NMIC81,27817,32.218605,35.254723
NMIC81,27818,32.218605,35.254723
